user_id,ttime,email_status
98494,2020-11-16 01:00:00,ok_delivered
45966,2020-11-16 01:00:00,ok_delivered
90416,2020-11-16 01:00:00,ok_delivered
40661,2020-11-16 01:00:00,ok_delivered
40169,2020-11-16 01:00:00,ok_delivered
58436,2020-11-16 10:52:34,ok_read
32751,2020-11-16 01:00:00,ok_delivered
13512,2020-11-16 01:00:00,ok_delivered
24280,2020-11-16 01:00:00,ok_delivered
77926,2020-11-16 01:00:00,ok_delivered
49383,2020-11-16 01:00:00,ok_delivered
33587,2020-11-16 01:00:00,ok_delivered
93435,2020-11-16 01:00:00,ok_delivered
11771,2020-11-16 16:06:50,ok_read
78729,2020-11-16 09:58:16,ok_read
37668,2020-11-16 01:00:00,ok_link_visited
30524,2020-11-16 01:00:00,ok_delivered
98685,2020-11-16 01:00:00,ok_delivered
14984,2020-11-16 01:00:00,ok_delivered
53476,2020-11-16 01:00:00,ok_delivered
24224,2020-11-16 01:00:00,ok_delivered
88043,2020-11-16 01:00:00,ok_delivered
50393,2020-11-16 01:00:00,ok_delivered
74741,2020-11-16 01:00:00,ok_delivered
47967,2020-11-16 01:00:00,ok_delivered
64490,2020-11-16 01:00:00,ok_delivered
17440,2020-11-16 01:00:00,ok_delivered
22489,2020-11-16 01:00:00,ok_delivered
55387,2020-11-16 01:00:00,ok_delivered
96030,2020-11-16 01:00:00,ok_delivered
52153,2020-11-16 01:00:00,ok_read
81906,2020-11-16 01:00:00,ok_delivered
34261,2020-11-16 01:00:00,ok_delivered
54067,2020-11-16 01:00:00,ok_delivered
82287,2020-11-16 01:00:00,ok_delivered
14801,2020-11-16 01:00:00,ok_delivered
79559,2020-11-16 01:00:00,ok_delivered
98985,2020-11-16 18:53:48,ok_read
25802,2020-11-16 01:00:00,ok_delivered
65875,2020-11-16 01:00:00,ok_delivered
92630,2020-11-16 01:00:00,ok_delivered
29599,2020-11-16 01:00:00,ok_delivered
86578,2020-11-16 01:00:00,ok_delivered
99620,2020-11-16 01:00:00,ok_delivered
43092,2020-11-16 01:00:00,ok_delivered
35792,2020-11-16 01:00:00,ok_delivered
90743,2020-11-16 01:00:00,ok_delivered
52299,2020-11-16 01:00:00,ok_delivered
16359,2020-11-16 01:00:00,ok_delivered
21190,2020-11-16 01:00:00,ok_delivered
91777,2020-11-16 01:00:00,ok_delivered
65960,2020-11-16 01:00:00,ok_delivered
79799,2020-11-16 01:00:00,ok_delivered
48903,2020-11-16 01:00:00,ok_read
41715,2020-11-16 01:00:00,ok_delivered
78683,2020-11-16 01:00:00,ok_delivered
67058,2020-11-16 21:31:40,ok_read
99716,2020-11-19 16:37:18,ok_read
13488,2020-11-22 02:27:47,ok_read
43624,2020-11-16 11:40:20,ok_read
74907,2020-11-16 20:51:33,ok_read
40629,2020-11-16 01:00:00,ok_delivered
39000,2020-11-16 01:00:00,ok_delivered
69172,2020-11-16 01:00:00,ok_delivered
78577,2020-11-21 18:58:56,ok_read
40193,2020-11-19 18:06:24,ok_read
57111,2020-11-19 08:38:48,ok_read
42003,2020-11-16 01:00:00,ok_delivered
61801,2020-11-16 01:00:00,ok_delivered
90670,2020-11-16 01:00:00,ok_delivered
61106,2020-11-16 01:00:00,ok_delivered
50377,2020-11-16 01:00:00,ok_delivered
86140,2020-11-22 02:24:22,ok_read
12418,2020-11-16 01:00:00,ok_delivered
53893,2020-11-19 17:28:35,ok_read
27185,2020-11-16 01:00:00,ok_read
25940,2020-11-16 01:00:00,ok_delivered
40947,2020-11-16 01:00:00,ok_delivered
45149,2020-11-16 01:00:00,ok_delivered
26749,2020-11-16 01:00:00,ok_delivered
95956,2020-11-16 01:00:00,ok_delivered
74052,2020-11-16 01:00:00,ok_delivered
16161,2020-11-16 01:00:00,ok_delivered
68826,2020-11-16 10:14:11,ok_read
43887,2020-11-17 10:10:33,ok_read
20797,2020-11-16 01:00:00,ok_delivered
55678,2020-11-16 01:00:00,ok_delivered
59816,2020-11-16 01:00:00,ok_delivered
53952,2020-11-16 01:00:00,ok_delivered
22026,2020-11-16 01:00:00,ok_delivered
18404,2020-11-19 20:59:02,ok_read
66970,2020-11-16 01:00:00,ok_delivered
26658,2020-11-16 01:00:00,ok_delivered
99695,2020-11-16 01:00:00,ok_delivered
92752,2020-11-16 01:00:00,ok_delivered
73947,2020-11-16 01:00:00,ok_delivered
89263,2020-11-16 01:00:00,ok_read
68643,2020-11-16 01:00:00,ok_delivered
61111,2020-11-22 17:55:56,ok_link_visited
88821,2020-11-16 01:00:00,ok_delivered
12456,2020-11-16 01:00:00,ok_delivered
47429,2020-11-16 01:00:00,ok_delivered
41773,2020-11-16 01:00:00,ok_delivered
98238,2020-11-16 01:00:00,ok_delivered
89141,2020-11-16 01:00:00,ok_delivered
51646,2020-11-16 01:00:00,ok_delivered
