user_id,time,email_status
70637,2020-10-20 16:47:14,ok_delivered
91206,2020-10-21 23:13:48,ok_delivered
45049,2020-10-22 00:19:08,ok_delivered
42063,2020-10-25 21:01:46,ok_delivered
15367,2020-10-19 15:27:03,ok_delivered
29668,2020-10-21 15:49:30,ok_delivered
33506,2020-10-21 04:46:22,ok_read
34782,2020-10-24 10:32:50,ok_delivered
46712,2020-10-19 09:29:57,ok_delivered
94170,2020-10-21 10:08:55,ok_delivered
17905,2020-10-21 17:57:14,ok_read
68556,2020-10-20 23:40:30,ok_delivered
95060,2020-10-20 22:48:10,ok_delivered
85690,2020-10-21 04:50:15,ok_read
33133,2020-10-20 22:33:01,ok_read
32028,2020-10-19 19:59:02,ok_delivered
11037,2020-10-25 19:18:47,ok_delivered
60558,2020-10-19 06:20:45,ok_read
99177,2020-10-23 02:17:24,ok_delivered
18402,2020-10-22 14:27:49,ok_delivered
41450,2020-10-22 03:37:12,ok_delivered
84849,2020-10-21 17:05:36,ok_delivered
51629,2020-10-20 07:22:00,ok_delivered
44455,2020-10-19 06:11:38,ok_delivered
51286,2020-10-22 00:11:26,ok_delivered
76042,2020-10-19 01:46:22,ok_delivered
89251,2020-10-20 20:41:41,ok_delivered
13592,2020-10-21 10:36:33,ok_delivered
26827,2020-10-24 13:12:03,ok_delivered
36561,2020-10-22 13:22:03,ok_delivered
79288,2020-10-25 23:48:54,ok_read
44219,2020-10-21 17:13:08,ok_delivered
39796,2020-10-19 00:14:44,ok_delivered
18331,2020-10-24 22:11:50,ok_read
52207,2020-10-25 01:48:19,ok_delivered
23842,2020-10-25 17:50:35,ok_read
60871,2020-10-23 15:13:41,ok_read
66841,2020-10-23 20:39:32,ok_read
58221,2020-10-20 04:52:07,ok_read
77080,2020-10-24 02:41:53,ok_link_visited
55001,2020-10-23 06:35:10,ok_delivered
37824,2020-10-22 08:13:40,ok_delivered
76493,2020-10-20 10:38:33,ok_read
58715,2020-10-25 07:17:23,ok_delivered
49580,2020-10-21 01:49:09,ok_delivered
73984,2020-10-20 11:07:25,ok_read
33494,2020-10-21 08:56:18,ok_delivered
34283,2020-10-24 18:49:29,ok_delivered
40341,2020-10-25 11:00:49,ok_delivered
25810,2020-10-19 11:44:15,ok_read
37032,2020-10-22 20:17:00,ok_delivered
14567,2020-10-22 18:18:47,ok_read
50473,2020-10-20 13:22:33,ok_delivered
18092,2020-10-21 11:24:54,ok_delivered
46834,2020-10-24 18:55:26,ok_delivered
32170,2020-10-24 04:45:21,ok_delivered
63531,2020-10-21 02:49:00,ok_delivered
80929,2020-10-21 18:49:08,ok_delivered
66901,2020-10-20 11:09:41,ok_read
62085,2020-10-25 12:56:59,ok_read
42513,2020-10-22 15:57:03,ok_delivered
66817,2020-10-19 10:52:01,ok_delivered
84973,2020-10-23 17:27:19,ok_delivered
57754,2020-10-24 10:12:11,ok_delivered
81418,2020-10-21 23:18:55,ok_delivered
75798,2020-10-23 07:37:03,ok_delivered
31241,2020-10-25 01:58:40,ok_delivered
97592,2020-10-24 20:20:09,ok_delivered
87789,2020-10-23 17:13:02,ok_delivered
47947,2020-10-24 14:54:18,ok_delivered
89001,2020-10-22 15:36:50,ok_delivered
67076,2020-10-25 21:51:32,ok_delivered
57594,2020-10-23 05:03:07,ok_delivered
76553,2020-10-19 11:53:19,ok_delivered
45588,2020-10-24 03:44:22,ok_delivered
72975,2020-10-20 14:50:01,ok_delivered
32394,2020-10-24 01:31:27,ok_delivered
42382,2020-10-19 10:05:11,ok_read
66426,2020-10-21 07:40:01,ok_link_visited
52110,2020-10-19 22:01:43,ok_delivered
44608,2020-10-22 03:25:18,ok_read
95759,2020-10-25 12:45:45,ok_delivered
22505,2020-10-25 17:19:55,ok_delivered
16343,2020-10-22 06:29:36,ok_delivered
45301,2020-10-19 22:32:19,ok_read
35537,2020-10-22 13:01:01,ok_delivered
70015,2020-10-23 04:44:05,ok_delivered
73775,2020-10-24 05:05:01,ok_delivered
78303,2020-10-21 19:42:04,ok_delivered
25970,2020-10-20 22:30:21,ok_delivered
94600,2020-10-19 03:31:47,ok_read
20792,2020-10-19 19:39:44,ok_delivered
75741,2020-10-20 08:36:21,ok_read
60403,2020-10-23 20:00:40,ok_link_visited
79251,2020-10-22 07:56:35,ok_read
52332,2020-10-20 18:24:36,ok_delivered
82079,2020-10-21 08:57:17,ok_delivered
75265,2020-10-20 02:49:49,ok_delivered
29978,2020-10-25 22:04:42,ok_delivered
95565,2020-10-24 04:11:50,ok_delivered
35987,2020-10-22 04:49:01,ok_delivered
94414,2020-10-22 16:36:32,ok_read
52285,2020-10-22 00:00:05,ok_read
89464,2020-10-24 01:52:41,ok_delivered
